,matter,injection_params,weight,size,is_defect,platemark,type,price_before_takeoff
9903,gold,"1Жемчуг культ. 3,51  52БРКр-57 2/5Б 0,48",4.51,16.0,0,585,decorative,6300.24
9904,gold,None,1.3,16.0,0,585,decorative,961.7
9905,gold,"3 Корунд Сапф.синт. Груша 5*3; 1 Корунд Сапф.синт. Круг 2,5",1.24,16.5,0,585,decorative,359.6
9906,silver,None,3.58,20.0,0,925,pechatki,282.03
9907,silver,None,3.35,18.5,0,925,pechatki,230.71
9908,silver,None,3.32,19.0,0,925,pechatki,261.52
9909,silver,None,3.38,19.0,0,925,pechatki,266.31
9910,gold,1 Бриллиант Кр-57-0.1ct-4/6А.,1.2,17.0,0,585,engagement,1049.0
9912,gold,1 Бриллиант Кр-57-0.1ct-4/6А.,1.16,16.0,0,585,engagement,998.3
9913,gold,"1 Фианит Swarovski Круг 4,50 0,125",1.27,17.5,0,585,engagement,670.69
9914,gold,"1 Фианит Swarovski Круг 4,50 0,125",1.16,16.0,0,585,engagement,854.58
9915,gold,"1 Фианит Swarovski Круг 4,50 0,125",1.2,17.5,0,585,engagement,884.04
9916,gold,"1 Фианит Swarovski Круг 4,50 0,125",1.26,18.0,0,585,engagement,928.24
9917,gold,"1 Фианит Swarovski Круг 4,50 0,125",1.29,18.0,0,585,engagement,950.37
9918,gold,"1 Фианит Swarovski Круг 4,50 0,125",1.1,15.5,0,585,engagement,811.07
9919,gold,"1 Фианит Swarovski Круг 4,50 0,125",1.11,15.5,0,585,engagement,818.48
9920,gold,"1 Фианит Swarovski Круг 4,50 0,125",1.18,17.0,0,585,engagement,870.11
9921,gold,"17 Бриллиант Кр-57-0.08ct-3/6А, 1 Бриллиант Кр-57-0.1ct-3/5А",1.39,16.0,0,585,engagement,1242.22
9922,gold,"17 Бриллиант Кр-57-0.08ct-3/6А, 1 Бриллиант Кр-57-0.1ct-3/5А",1.24,15.0,0,585,engagement,1519.88
9923,gold,"17 Бриллиант Кр-57-0.08ct-3/6А, 1 Бриллиант Кр-57-0.1ct-3/5А",1.35,16.0,0,585,engagement,1592.14
9924,gold,"17 Бриллиант Кр-57-0.08ct-3/6А, 1 Бриллиант Кр-57-0.1ct-3/5А",1.22,15.0,0,585,engagement,1506.72
9925,gold,"17 Бриллиант Кр-57-0.08ct-3/6А, 1 Бриллиант Кр-57-0.1ct-3/5А",1.2,15.0,0,585,engagement,1493.6
9926,gold,"17 Бриллиант Кр-57-0.08ct-3/6А, 1 Бриллиант Кр-57-0.1ct-3/5А",1.27,15.5,0,585,engagement,1539.58
9927,gold,"17 Бриллиант Кр-57-0.08ct-3/6А, 1 Бриллиант Кр-57-0.1ct-3/5А",1.29,15.5,0,585,engagement,1552.71
9928,gold,"17 Бриллиант Кр-57-0.08ct-3/6А, 1 Бриллиант Кр-57-0.1ct-3/5А",1.23,15.0,0,585,engagement,1513.32
9929,gold,"17 Бриллиант Кр-57-0.08ct-3/6А, 1 Бриллиант Кр-57-0.1ct-3/5А",1.29,16.0,0,585,engagement,1552.71
9930,gold,1 Бриллиант Кр-57-0.03ct-2/5А.,1.96,18.5,0,585,engagement,1086.0
9931,gold,1 Бриллиант Кр-57-0.03ct-2/5А.,1.86,16.5,0,585,engagement,1038.83
9932,gold,1 Бриллиант Кр-57-0.03ct-2/5А.,1.87,17.0,0,585,engagement,1040.37
9933,gold,1 Бриллиант Кр-57-0.03ct-2/5А.,1.94,18.0,0,585,engagement,1075.87
9935,gold,1 Бриллиант Кр-57-0.03ct-2/5А.,1.94,18.5,0,585,engagement,1075.87
9936,gold,"1 бриллианты 0,117ct 3/6А кр-57; 8 бриллианты 0,115ct 3/6А кр-57",1.95,16.5,0,585,decorative,1646.58
9937,gold,None,3.61,20.0,0,585,pechatki,2019.98
9938,silver,None,6.4,19.5,0,925,decorative,374.46
9939,silver,None,6.5,18.0,0,925,decorative,374.47
9940,silver,None,7.1,18.5,0,925,decorative,374.45
9941,silver,"5 Гранат Круг 3; 19 Фианит б/ц Круг 1; 12 Фианит гранат Круг 1,5",2.6,18.5,0,925,decorative,196.77
9943,gold,"1БРКр-57 5/5Б 0,1 ",1.64,17.5,0,585,engagement,1386.37
9944,silver,"1 Фианит SW Круг 5,00 0,177",1.24,16.5,0,925,engagement,240.92
9945,silver,"1 Фианит SW Круг 5,00 0,177",1.19,16.5,0,925,engagement,94.39
9947,silver,"1 Фианит SW Круг 5,00 0,177",1.2,17.5,0,925,engagement,95.2
9948,silver,"1 Фианит SW Круг 5,00 0,177",1.21,17.0,0,925,engagement,95.99
9949,silver,"1 Фианит SW Круг 5,00 0,177",1.27,17.0,0,925,engagement,100.7
9950,silver,"1 Фианит SW Круг 5,00 0,177",1.28,17.5,0,925,engagement,101.5
9952,silver,"1 Фианит SW Круг 5,00 0,177",1.28,18.0,0,925,engagement,101.5
9953,silver,"1 Фианит SW Круг 5,00 0,177",1.29,17.5,0,925,engagement,102.3
9954,silver,"1 Фианит SW Круг 5,00 0,177",1.16,16.0,0,925,engagement,92.0
9956,silver,"1 Фианит SW Круг 5,00 0,177",1.2,17.0,0,925,engagement,95.2
9957,silver,"1 Фианит SW Круг 5,00 0,177",1.21,17.5,0,925,engagement,95.99
9958,silver,"1 Фианит SW Круг 5,00 0,177",1.23,17.0,0,925,engagement,97.5
9960,gold,1 Бриллиант Кр-57-0.09ct-3/5А.,2.47,17.0,0,585,engagement,1658.09
9961,gold,1 Бриллиант Кр-57-0.09ct-3/5А.,2.31,17.0,1,585,engagement,1637.63
9962,gold,1 Бриллиант Кр-57-0.09ct-3/5А.,2.33,16.0,0,585,engagement,1480.6
9967,silver,None,2.29,15.5,0,925,decorative,82.17
9968,silver,None,2.58,18.5,0,925,decorative,690.82
9971,silver,None,2.67,18.0,0,925,decorative,173.07
9972,gold,"17 Бриллиант Кр-57-0.04ct-3/6А, 1 Бриллиант Кр-57-0.08ct-3/5А",1.38,16.0,0,585,engagement,1367.51
9973,gold,"17 Бриллиант Кр-57-0.04ct-3/6А, 1 Бриллиант Кр-57-0.08ct-3/5А",1.27,17.0,0,585,engagement,1307.8
9974,gold,"17 Бриллиант Кр-57-0.04ct-3/6А, 1 Бриллиант Кр-57-0.08ct-3/5А",1.27,17.5,0,585,engagement,1307.8
9975,gold,"17 Бриллиант Кр-57-0.04ct-3/6А, 1 Бриллиант Кр-57-0.08ct-3/5А",1.28,17.0,0,585,engagement,1314.38
9976,silver,"2 Гранат Кр 2; 1 Гранат Кр 2,5; 1 Гранат Кр 3; 1 Гранат Кр 3,5; 11 Фианит б/ц Кр 1",2.17,17.5,0,925,decorative,200.77
9977,gold,"1 Цирконий кр 3,50 0,04",1.45,17.5,0,585,engagement,693.77
9978,gold,3 Аметист Круг; 4 Аметист Маркиз 4*2; 1 Родолит Груша 5*3; 2 Родолит Круг; 2 Родолит Маркиз 4*2; 1 Родолит Овал 4*3,1.78,17.0,0,585,decorative,830.83
9980,gold,3 Аметист Круг; 4 Аметист Маркиз 4*2; 1 Родолит Груша 5*3; 2 Родолит Круг; 2 Родолит Маркиз 4*2; 1 Родолит Овал 4*3,1.89,17.5,0,585,decorative,804.29
9981,gold,3 Аметист Круг; 4 Аметист Маркиз 4*2; 1 Родолит Груша 5*3; 2 Родолит Круг; 2 Родолит Маркиз 4*2; 1 Родолит Овал 4*3,1.8,17.5,0,585,decorative,840.2
9982,gold,3 Аметист Круг; 4 Аметист Маркиз 4*2; 1 Родолит Груша 5*3; 2 Родолит Круг; 2 Родолит Маркиз 4*2; 1 Родолит Овал 4*3,1.89,17.0,0,585,decorative,920.88
9983,silver,"47 Фианит б/ц Круг 1,25",2.0,18.0,0,925,decorative,122.18
9984,silver,"47 Фианит б/ц Круг 1,25",1.94,17.0,0,925,decorative,118.55
9985,silver,"47 Фианит б/ц Круг 1,25",1.88,17.0,0,925,decorative,114.91
9986,silver,"47 Фианит б/ц Круг 1,25",2.06,18.5,0,925,decorative,125.93
9987,silver,"47 Фианит б/ц Круг 1,25",2.08,18.0,0,925,decorative,127.07
9988,silver,"47 Фианит б/ц Круг 1,25",2.16,17.5,0,925,decorative,131.95
9989,silver,"47 Фианит б/ц Круг 1,25",2.01,17.5,0,925,decorative,122.81
9990,gold,1 Бриллиант Кр-57-0.16ct-4/5А.,1.97,15.5,0,585,engagement,2082.66
9991,gold,1 Бриллиант Кр-57-0.16ct-4/5А.,2.11,17.0,0,585,engagement,1843.11
9992,silver,None,1.9,15.0,0,925,engagement,341.92
9993,silver,None,1.96,17.5,0,925,engagement,115.7
9994,silver,None,1.83,16.5,0,925,engagement,107.99
9995,silver,None,1.92,16.0,0,925,engagement,113.32
9997,silver,None,1.87,16.0,0,925,engagement,110.39
9998,silver,None,1.9,16.0,0,925,engagement,112.16
10001,silver,None,1.66,18.0,0,925,decorative,89.89
10004,silver,None,1.74,18.0,0,925,decorative,154.96
10005,gold,"6 фианит 2,0 Круг, 1 юв. стекло 10,0 Бриолет круг",2.21,16.5,0,585,decorative,3204.5
10006,gold,1 Фианит бесцветный Круг 6,1.31,17.5,0,375,engagement,477.52
10007,gold,4 Топаз Груша; 7 Топаз Круг; 6 Топаз Маркиз,3.3,17.5,0,585,decorative,1655.18
10008,gold,"8 фианит 1,25 Круг, 1 фианит 2,5 Круг",0.96,17.0,0,585,decorative,1392.0
10009,silver,None,3.1,17.0,0,925,decorative,289.57
10010,gold,1 Бриллиант Кр-57-0.14ct-4/5А.,1.34,16.5,0,585,engagement,1383.5
10011,gold,1 Бриллиант Кр-57-0.14ct-4/5А.,1.49,17.5,0,585,engagement,1459.48
10012,gold,"2 Аметист Груша 5*3; 1 Аметист Груша 6*4; 1 Фианит бесцветный Круг 1,5; 3 Фианит бесцветный Круг 1,75",2.01,16.5,0,585,decorative,926.47
10013,gold,1 Бриллиант Кр-57-0.24ct-4/5А.,3.18,17.0,0,585,engagement,2941.31
10014,gold,1 Бриллиант Кр-57-0.24ct-4/5А.,3.21,17.5,0,585,engagement,2954.77
10015,gold,1 Бриллиант Кр-57-0.24ct-4/5А.,3.31,17.5,0,585,engagement,2999.69
10016,gold,1 Бриллиант Кр-57-0.24ct-4/5А.,3.35,17.5,0,585,engagement,3017.65
10017,gold,1 Бриллиант Кр-57-0.24ct-4/5А.,3.36,18.0,0,585,engagement,3022.12
10018,gold,1 Бриллиант Кр-57-0.24ct-4/5А.,2.63,16.0,0,585,engagement,2817.15
10019,gold,1 Корунд синт. сапфир Груша 8*6; 6 Фианит бесцв. Круг 1,1.61,16.0,0,585,decorative,637.22
10020,gold,None,1.58,16.5,0,585,decorative,717.57
10021,silver,"12 Фианит б/ц Круг 1,5; 1 Фианит б/ц Круг 5",1.71,17.5,0,925,decorative,86.77
10022,silver,"12 Фианит б/ц Круг 1,5; 1 Фианит б/ц Круг 5",1.71,17.0,0,925,decorative,86.77
10023,gold,None,1.12,18.5,0,585,decorative,1162.53
10026,gold,None,1.07,16.5,0,585,decorative,1125.49
10027,gold,None,1.14,18.0,0,585,decorative,1177.41
10028,gold,"1 Топаз swiss Круг 8; 2 Фианит бесцветный Круг 0,8",2.22,17.0,0,585,decorative,1079.08
10029,gold,"1 Топаз swiss Круг 8; 2 Фианит бесцветный Круг 0,8",2.07,17.5,0,585,decorative,1006.14
10030,silver,None,1.23,15.0,0,925,decorative,57.37
10031,silver,None,1.19,15.5,0,925,decorative,56.12
10032,silver,None,1.32,16.0,0,925,decorative,62.25
10034,silver,None,1.15,15.0,0,925,decorative,54.26
10036,silver,None,1.2,15.5,0,925,decorative,56.57
10038,silver,"1 фианит Круг 6,0=1,46; 3 Фианит Круг 1,25=0,048",1.66,15.5,0,925,decorative,254.31
10039,silver,"1 фианит Круг 6,0=1,46; 3 Фианит Круг 1,25=0,048",1.65,16.5,0,925,decorative,52.49
10040,silver,"1 фианит Круг 6,0=1,46; 3 Фианит Круг 1,25=0,048",1.55,15.0,0,925,decorative,49.27
10041,silver,"1 фианит Круг 6,0=1,46; 3 Фианит Круг 1,25=0,048",1.57,15.0,0,925,decorative,49.93
10042,gold,None,1.48,16.0,0,585,decorative,547.94
10043,silver,12 Фианит SWAROVSKI Круг 2; 1 Фианит SWAROVSKI Круг 6,3.59,17.0,0,925,engagement,1019.6
10045,silver,None,1.8,17.0,0,925,decorative,96.17
10046,silver,None,1.69,17.0,0,925,decorative,90.31
10050,silver,"2 Топаз Круг 2; 1 Топаз Круг 2,5; 2 Топаз Овал 4*3; 2 Топаз Маркиз 4*2; 2 Топаз Груша 4*3",1.46,16.0,0,925,decorative,109.62
10051,silver,"2 Топаз Круг 2; 1 Топаз Круг 2,5; 2 Топаз Овал 4*3; 2 Топаз Маркиз 4*2; 2 Топаз Груша 4*3",1.55,18.0,0,925,decorative,161.36
10052,gold,"34 Бр Круг 17 0,160 2/3А",1.44,16.5,0,585,decorative,1490.07
10053,silver,"2 Фианит круг 1,75=0,084; 1 Жемчуг белый 8-8,5=3,15",2.02,17.5,0,925,decorative,341.91
10054,silver,"2 Фианит круг 1,75=0,084; 1 Жемчуг белый 8-8,5=3,15",2.08,17.0,0,925,decorative,341.91
10055,silver,"2 Фианит круг 1,75=0,084; 1 Жемчуг белый 8-8,5=3,15",1.92,16.5,0,925,decorative,341.91
10056,silver,"2 Фианит круг 1,75=0,084; 1 Жемчуг белый 8-8,5=3,15",2.08,17.5,0,925,decorative,341.91
10057,silver,"2 Фианит круг 1,75=0,084; 1 Жемчуг белый 8-8,5=3,15",2.14,17.5,0,925,decorative,341.91
10058,gold,"1 Бриллиант Кр 57    0,084 3/4А; 4 Бриллиант Кр 57    0,011 3/4А; 9 Бриллиант Кр 57    0,047 3/5А",1.77,17.5,0,585,decorative,1228.36
10059,silver,None,8.55,18.0,0,925,decorative,204.43
10062,silver,None,2.5,18.0,0,925,decorative,143.78
10064,silver,None,2.33,17.0,0,925,decorative,134.0
10065,silver,None,2.27,17.0,0,925,decorative,110.03
10066,silver,None,2.31,17.5,0,925,decorative,132.85
10068,silver,None,2.28,17.5,0,925,decorative,134.54
10069,gold,1 Бриллиант Кр-57-0.04ct-2/5А. 8 Бриллиант Кр-57-0.03ct-3/5А.,1.48,16.0,0,585,decorative,1016.32
10070,gold,6 Бриллиант Кр-57-0.08ct-3/6А. 1 Бриллиант Кр-57-0.04ct-3/6А.,1.53,17.5,0,585,decorative,1051.83
10071,gold,6 Бриллиант Кр-57-0.08ct-3/6А. 1 Бриллиант Кр-57-0.04ct-3/6А.,1.55,17.5,0,585,decorative,1062.0
10072,gold,"16 Фианит круг 1,0=0,128; 1 Жемчуг белый 8-8,5=3,148",2.71,17.0,0,585,decorative,427.42
10073,gold,"16 Фианит круг 1,0=0,128; 1 Жемчуг белый 8-8,5=3,148",3.23,18.5,1,585,decorative,1099.17
10074,gold,"16 Фианит круг 1,0=0,128; 1 Жемчуг белый 8-8,5=3,148",3.18,18.0,0,585,decorative,1991.0
10075,gold,"16 Фианит круг 1,0=0,128; 1 Жемчуг белый 8-8,5=3,148",3.23,17.5,0,585,decorative,2022.3
10076,gold,"1 Фианит бесцветный Круг 3,5",1.15,16.0,0,585,engagement,544.86
10077,gold,None,2.27,16.5,0,585,engagement,840.47
10078,gold,None,2.31,17.0,0,585,engagement,855.21
10079,gold,1 Бриллиант Кр-57-0.15ct-4/5А.,1.66,17.5,0,585,engagement,1642.11
10080,silver,"1 фианит Круг 6,0=1,46",1.76,16.0,0,925,decorative,256.41
10081,silver,"1 фианит Круг 6,0=1,46",1.93,18.0,0,925,decorative,341.92
10082,silver,"1 фианит Круг 6,0=1,46",1.9,18.5,0,925,decorative,60.4
10083,silver,"1 фианит Круг 6,0=1,46",1.59,16.0,0,925,decorative,91.46
10084,silver,"1 фианит Круг 6,0=1,46",1.75,17.5,0,925,decorative,100.61
10085,silver,"1 фианит Круг 6,0=1,46",1.74,17.0,0,925,decorative,100.08
10086,silver,"1 фианит Круг 6,0=1,46",1.8,17.0,0,925,decorative,103.54
10087,silver,"1 фианит Круг 6,0=1,46",1.67,16.5,0,925,decorative,96.08
10088,silver,"1 фианит Круг 6,0=1,46",1.75,16.5,0,925,decorative,100.61
10089,silver,"1 фианит Круг 6,0=1,46",1.79,17.0,0,925,decorative,102.93
10090,silver,"1 Гранат Овал 10*8; 18 Фианит Круг 1,5",2.72,17.5,0,925,decorative,1333.86
10091,silver,None,4.27,17.5,0,925,decorative,202.7
10092,silver,None,4.3,17.5,0,925,decorative,202.7
10094,gold,"8 Фианит круг 1,0=0,064; 1 Жемчуг белый 8-8,5=3,2",2.55,17.5,0,925,decorative,957.37
10095,gold,"8 Фианит круг 1,0=0,064; 1 Жемчуг белый 8-8,5=3,2",2.03,18.5,0,925,decorative,341.91
10096,gold,"8 Фианит круг 1,0=0,064; 1 Жемчуг белый 8-8,5=3,2",1.99,16.5,0,925,decorative,341.92
10097,gold,"8 Фианит круг 1,0=0,064; 1 Жемчуг белый 8-8,5=3,2",2.53,17.5,0,925,decorative,973.54
10098,gold,"8 Фианит круг 1,0=0,064; 1 Жемчуг белый 8-8,5=3,2",2.1,18.0,0,925,decorative,73.12
10099,gold,"8 Фианит круг 1,0=0,064; 1 Жемчуг белый 8-8,5=3,2",2.54,17.0,0,925,decorative,1590.24
10100,silver,"17 Фианит круг 1,0=0,136; 1 Фианит круг 1,5=0,027; 1 Жемчуг белый 8-8,5=3,32",2.63,16.0,0,925,decorative,157.8
10101,gold,2 Фианит бесцветный Круг 2; 1 Фианит бесцветный Круг 4,1.47,17.0,0,585,decorative,859.29
10102,gold,"5БРКр-57 4/5A 0,22",1.72,17.5,0,585,decorative,1491.84
10103,gold,"5БРКр-57 4/5A 0,22",1.56,16.0,0,585,decorative,1655.3
10104,gold,"5БРКр-57 4/5A 0,22",1.64,16.5,0,585,decorative,1869.73
10105,gold,"1 Фианит Круг 1,25",0.76,17.0,0,585,decorative,535.12
10106,gold,"1 Фианит Круг 1,25",0.8,17.5,0,585,decorative,593.48
10107,gold,"1 Фианит Круг 1,25",0.78,17.0,0,585,decorative,578.67
10108,gold,"1 Фианит бесцветный Круг 3,5; 12 Фианит бесцветный Круг 1",1.39,17.5,0,585,engagement,586.9
10109,gold,"1 Фианит бесцветный Круг 3,5; 12 Фианит бесцветный Круг 1",1.34,16.5,0,585,engagement,788.93
10110,gold,16 Фианит бесцв. Круг 1; 1 Фианит бесцв. Круг 3,1.84,18.5,0,585,decorative,985.87
10111,gold,1 Фианит бесцветный Круг 3,1.15,17.0,0,375,decorative,419.22
10112,gold,None,1.44,17.0,0,585,decorative,623.65
10113,gold,None,1.64,17.5,0,585,decorative,710.3
10114,gold,None,1.55,17.5,0,585,decorative,939.18
10115,gold,None,3.57,19.5,0,585,pechatki,1567.34
10116,silver,None,1.19,17.0,0,925,engagement,63.49
10118,gold,"1 Топаз Круг 8; 18 Фианит Круг 0,8",2.66,17.0,0,585,decorative,771.4
10119,silver,None,2.43,18.0,0,925,decorative,341.93
10121,silver,None,2.52,18.5,0,925,decorative,143.94
10122,silver,None,3.5,17.5,0,925,decorative,473.34
10123,silver,"2 Топаз Лондон Груша 4*3; 2 Топаз Лондон Круг 2; 1 Топаз Лондон Маркиз 5*2,5; 10 Фианит бесцветный Круг 1",1.46,17.5,0,925,decorative,152.0
10124,silver,1 Фианит б/ц Круг 5,1.87,17.0,0,925,decorative,266.66
10125,silver,1 Фианит б/ц Круг 5,2.04,17.5,0,925,decorative,341.92
10126,silver,1 Фианит б/ц Круг 5,1.86,17.5,0,925,decorative,265.24
10127,silver,1 Фианит б/ц Круг 5,1.86,17.0,0,925,decorative,90.58
10128,silver,1 Фианит б/ц Круг 5,1.89,17.5,0,925,decorative,92.01
10130,silver,"3 Топаз Маркиз 5*2,5; 2 Топаз Груша 5*3; 20 Фианит б/ц Круг 1; 20 Фианит б/ц Круг 1,25",2.91,19.5,0,925,decorative,181.82
10131,silver,"3 Топаз Маркиз 5*2,5; 2 Топаз Груша 5*3; 20 Фианит б/ц Круг 1; 20 Фианит б/ц Круг 1,25",2.45,17.5,0,925,decorative,185.42
10132,silver,"3 Топаз Маркиз 5*2,5; 2 Топаз Груша 5*3; 20 Фианит б/ц Круг 1; 20 Фианит б/ц Круг 1,25",2.74,18.0,0,925,decorative,207.45
10133,gold,6 Бриллиант Кр-57-0.05ct-2/5А. 1 Бриллиант Кр-57-0.02ct-3/5А.,2.03,16.5,0,585,engagement,1440.33
10134,silver,"1 Аметист Круг 10; 8 Фианит Круг 1; 2 Фианит Круг 1,25",3.15,16.5,0,925,decorative,737.42
10135,gold,None,1.05,16.5,1,585,engagement,761.93
10136,gold,None,1.71,18.0,0,585,decorative,804.21
10137,silver,None,2.33,17.5,0,925,decorative,137.54
10138,silver,None,2.36,17.0,0,925,decorative,139.33
10140,silver,None,2.2,19.5,0,925,decorative,126.54
10142,silver,None,2.24,16.5,0,925,decorative,132.23
10143,silver,None,2.22,16.0,0,925,decorative,131.07
10144,silver,None,2.15,18.5,0,925,decorative,123.69
10148,silver,None,2.27,17.5,0,925,decorative,130.53
10153,gold,"1БРКр-57 2/6Б 0,1 ",1.69,16.0,0,585,engagement,1041.48
10154,gold,"1 Бр Круг 57 0,169 3/5А; 20 Бр Круг 17 0,076 2/3А",2.12,17.0,0,585,decorative,2142.03
10155,gold,"1 Бр Круг 57 0,169 3/5А; 20 Бр Круг 17 0,076 2/3А",2.34,17.5,0,585,decorative,2379.57
10156,silver,None,3.47,16.0,0,925,decorative,809.97
10157,silver,None,3.86,18.0,0,925,decorative,1068.18
10159,silver,None,3.92,18.5,0,925,pechatki,211.25
10160,silver,None,3.89,20.5,0,925,pechatki,214.46
10161,silver,None,3.83,22.5,1,925,pechatki,243.74
10162,silver,None,3.45,18.0,0,925,pechatki,219.52
10163,silver,None,3.95,22.5,0,925,pechatki,251.38
10164,silver,None,4.15,23.0,0,925,pechatki,264.11
10165,silver,None,3.96,22.5,0,925,pechatki,252.01
10166,silver,None,4.08,22.5,0,925,pechatki,259.65
10167,silver,None,4.31,22.0,0,925,pechatki,274.2
10168,silver,"26 Фианит бесцв. Круг 1; 2 Фианит бесцв. Круг 1,25; 1 Фианит бесцв. Круг 7",1.97,18.0,0,925,engagement,341.91
10169,gold,1 Фианит SW Круг 4,1.1,15.5,0,585,engagement,804.0
10170,gold,1 Фианит SW Круг 4,1.14,15.5,0,585,engagement,833.26
10171,gold,1 Фианит SW Круг 4,1.11,15.5,0,585,engagement,811.29
10172,gold,1 Фианит SW Круг 4,1.05,15.0,0,585,engagement,807.86
10173,silver,None,1.3,17.5,0,925,engagement,66.78
10174,gold,"1 Фианит бесцветный Круг 3,5",1.42,17.5,0,585,engagement,827.83
10175,silver,None,7.47,17.5,0,925,decorative,214.16
10176,silver,None,6.87,18.5,0,925,decorative,287.58
10177,silver,None,7.06,17.5,0,925,decorative,287.55
10178,silver,None,7.26,19.0,0,925,decorative,287.57
10179,silver,None,7.3,19.5,0,925,decorative,287.55
10180,silver,None,7.37,19.5,0,925,decorative,287.58
10181,gold,1 Бриллиант Кр-57-0.04ct-2/5А. 8 Бриллиант Кр-57-0.03ct-2/5А.,1.84,16.0,0,585,decorative,1174.53
10182,silver,None,2.34,15.5,0,925,decorative,427.42
10183,silver,None,2.41,15.0,0,925,decorative,98.09
10185,silver,None,2.54,17.0,0,925,decorative,140.03
10186,silver,None,2.44,16.5,0,925,decorative,131.61
10187,silver,None,2.5,17.0,0,925,decorative,137.9
10188,silver,None,2.46,16.5,0,925,decorative,135.69
10189,silver,None,2.3,15.5,0,925,decorative,648.14
10191,silver,None,2.69,19.5,0,925,decorative,174.39
10192,gold,"1БРКр-57 4/4A 0,1 ",1.45,16.0,0,585,engagement,1387.72
10193,gold,"1БРКр-57 4/4A 0,1 ",1.5,16.0,0,585,engagement,1230.98
10194,gold,"1БРКр-57 4/4A 0,1 ",1.53,16.5,0,585,engagement,1302.58
10195,gold,"1БРКр-57 4/4A 0,1 ",1.36,15.0,0,585,engagement,1393.31
10196,gold,"1БРКр-57 4/4A 0,1 ",1.41,15.5,0,585,engagement,1181.09
10197,gold,"1БРКр-57 4/4A 0,1 ",1.43,16.0,0,585,engagement,1425.71
10198,gold,"1БРКр-57 4/4A 0,1 ",1.51,17.0,0,585,engagement,1421.42
10199,gold,1 Бриллиант Кр-57-0.11ct-3/5А.,2.11,16.0,0,585,engagement,1545.01
10200,gold,15 Бриллиант Кр-57-0.18ct-3/5А. 1 Бриллиант Кр-57-0.08ct-3/5А.,3.19,17.5,0,585,decorative,2684.13
10201,gold,15 Бриллиант Кр-57-0.18ct-3/5А. 1 Бриллиант Кр-57-0.08ct-3/5А.,3.22,17.5,0,585,decorative,2509.09
10202,silver,2 Аметист 0.55Ct,2.74,17.5,0,925,decorative,1079.12
10203,gold,11 Бриллиант Кр-57-0.15ct-2/5А,2.39,17.0,0,585,decorative,2007.27
10204,gold,11 Бриллиант Кр-57-0.15ct-2/5А,2.41,17.0,0,585,decorative,2019.89
10205,gold,11 Бриллиант Кр-57-0.15ct-2/5А,2.41,17.5,0,585,decorative,2019.89
10206,gold,11 Бриллиант Кр-57-0.15ct-2/5А,2.45,17.0,0,585,decorative,2045.21
10207,gold,11 Бриллиант Кр-57-0.15ct-2/5А,2.47,17.0,0,585,decorative,2057.83
10208,gold,11 Бриллиант Кр-57-0.15ct-2/5А,2.47,17.5,0,585,decorative,2057.83
10209,gold,11 Бриллиант Кр-57-0.15ct-2/5А,2.64,18.0,0,585,decorative,2165.35
10210,gold,11 Бриллиант Кр-57-0.15ct-2/5А,2.76,18.5,0,585,decorative,2241.29
10211,gold,11 Бриллиант Кр-57-0.15ct-2/5А,2.77,18.0,0,585,decorative,2247.61
10212,gold,11 Бриллиант Кр-57-0.15ct-2/5А,2.78,18.5,0,585,decorative,2253.91
10213,silver,None,1.98,16.5,0,925,decorative,141.09
10214,silver,None,1.8,15.5,0,925,decorative,123.97
10216,silver,None,1.93,16.0,0,925,decorative,137.55
10217,silver,10 Фианит б\ц Круг 1; 1 Фианит б\ц Овал 8*6,2.96,17.5,0,925,decorative,441.19
10218,silver,"16 Фианит Круг 1,75 0,139, 2 Фианит Круг 1,25 0,006, 2 Фианит Круг 1,00 0,003, 4 Фианит Круг 0,80 0,003",2.41,19.0,0,925,decorative,176.36
10219,silver,"16 Фианит Круг 1,75 0,139, 2 Фианит Круг 1,25 0,006, 2 Фианит Круг 1,00 0,003, 4 Фианит Круг 0,80 0,003",2.22,17.0,1,925,decorative,162.5
10220,silver,"16 Фианит Круг 1,75 0,139, 2 Фианит Круг 1,25 0,006, 2 Фианит Круг 1,00 0,003, 4 Фианит Круг 0,80 0,003",2.6,19.5,0,925,decorative,824.82
10221,gold,1 Бриллиант Кр-57-0.15ct-4/5А.,1.42,16.5,0,585,engagement,1498.75
10222,silver,"5 Куб. Цирконий кр 0,90",1.59,17.5,0,925,decorative,71.3
10223,silver,"5 Куб. Цирконий кр 0,90",1.63,17.0,0,925,decorative,73.12
10224,silver,None,3.01,18.5,0,925,decorative,898.61
10225,silver,None,2.76,18.5,0,925,decorative,237.55
10226,gold,None,4.19,21.0,0,585,pechatki,2984.96
10227,gold,None,4.35,20.0,0,585,pechatki,2083.08
10228,gold,None,4.0,21.5,0,585,pechatki,1915.44
10229,gold,None,4.09,20.5,0,585,pechatki,1958.58
10230,gold,None,4.12,21.5,0,585,pechatki,2055.76
10231,gold,None,4.36,21.0,0,585,pechatki,2087.87
10232,gold,None,4.3,20.0,0,585,pechatki,2145.57
10233,gold,None,4.47,21.5,0,585,pechatki,3184.47
10234,gold,None,4.62,21.0,0,585,pechatki,3291.33
10235,gold,None,4.54,22.0,0,585,pechatki,3234.34
10236,gold,None,4.35,23.0,0,585,pechatki,3098.98
10237,gold,None,4.58,22.0,0,585,pechatki,3262.84
