,matter,injection_params,weight,size,is_defect,platemark,type,price_before_takeoff,price_after_discount
131,gold,None,3.33,23.0,0,375,wedding,1379.59,620.82
132,gold,None,3.36,23.0,0,375,wedding,1392.01,626.40
133,gold,None,3.2,22.5,0,375,wedding,1325.73,596.58
134,gold,None,3.27,22.5,0,375,wedding,1354.73,609.63
135,gold,None,2.39,16.5,0,375,wedding,990.15,445.57
136,gold,None,2.19,15.5,0,375,wedding,907.3,408.29
137,gold,None,3.16,21.5,0,375,wedding,1309.16,589.12
138,gold,None,3.31,23.0,0,375,wedding,1371.3,617.09
139,gold,None,2.67,18.0,0,375,wedding,1106.15,497.77
140,gold,None,3.36,22.0,0,375,wedding,1392.01,626.40
141,gold,None,3.46,22.5,0,375,wedding,1433.44,645.05
142,gold,None,3.57,23.0,0,375,wedding,1479.02,665.56
143,gold,None,3.2,22.5,0,375,wedding,1325.73,596.58
144,gold,None,3.33,23.0,0,375,wedding,1379.59,620.82
145,gold,None,3.14,21.0,0,375,wedding,1300.87,585.39
146,gold,None,2.56,16.5,0,375,wedding,1060.58,477.26
147,gold,None,2.71,18.0,0,375,wedding,1122.73,505.23
148,gold,None,3.07,20.5,0,375,wedding,1271.87,572.34
149,gold,None,2.23,15.5,0,585,wedding,946.14,425.76
150,gold,None,2.23,15.5,0,585,wedding,946.14,425.76
151,gold,None,2.25,16.0,0,585,wedding,954.63,429.58
152,gold,None,2.25,16.0,0,585,wedding,954.63,429.58
153,gold,None,3.01,21.5,0,585,wedding,1277.08,574.69
154,gold,None,2.15,15.0,0,585,wedding,912.2,410.49
155,gold,None,2.15,15.0,0,585,wedding,912.2,410.49
156,gold,None,2.35,17.0,0,585,wedding,997.06,448.68
157,gold,None,2.16,15.0,0,585,wedding,916.44,412.40
158,gold,None,2.16,15.0,0,585,wedding,1203.42,541.54
159,gold,None,2.36,17.0,0,585,wedding,1001.3,450.59
160,gold,None,2.46,18.0,0,585,wedding,1043.73,469.68
161,gold,None,2.38,16.5,0,585,wedding,1009.79,454.41
162,gold,None,3.03,21.5,0,585,wedding,1285.57,578.51
163,gold,None,2.31,16.0,0,585,wedding,980.09,441.04
164,gold,None,2.09,16.0,0,585,wedding,1164.42,523.99
165,gold,None,2.1,16.0,0,585,wedding,890.99,400.95
166,gold,None,2.23,16.5,0,585,wedding,946.14,425.76
167,gold,None,3.0,23.0,0,585,wedding,1272.84,572.78
168,gold,None,2.1,15.0,0,585,wedding,890.99,400.95
169,gold,None,2.19,16.5,0,585,wedding,929.17,418.13
170,gold,None,3.07,23.0,0,585,wedding,1302.54,586.14
171,gold,None,2.05,15.5,0,585,wedding,869.77,391.40
172,gold,None,2.05,15.5,0,585,wedding,869.77,391.40
173,gold,None,2.16,16.0,0,585,wedding,916.44,412.40
174,gold,None,2.18,16.5,0,585,wedding,924.93,416.22
175,gold,None,2.2,16.5,0,585,wedding,933.42,420.04
176,gold,None,2.08,15.5,0,585,wedding,882.5,397.13
177,gold,None,2.08,15.5,0,585,wedding,882.5,397.13
178,gold,None,2.08,16.0,0,585,wedding,882.5,397.13
179,gold,None,3.02,23.0,0,585,wedding,1281.33,576.60
180,gold,None,2.45,18.0,0,585,wedding,1039.49,467.77
181,gold,None,2.45,18.0,0,585,wedding,1039.49,467.77
182,gold,None,2.31,16.5,0,585,wedding,980.09,441.04
183,gold,None,2.32,16.5,0,585,wedding,984.33,442.95
184,gold,None,3.0,22.0,0,585,wedding,1272.84,572.78
185,gold,None,1.94,15.0,0,585,wedding,823.1,370.40
186,gold,None,2.24,15.0,0,585,wedding,1247.99,561.60
187,gold,None,2.74,21.0,0,585,wedding,1526.56,686.95
188,gold,None,2.05,15.0,0,585,wedding,1142.14,513.96
189,gold,None,2.0,15.0,0,585,wedding,1114.28,501.43
190,gold,"1 фианит 3,0 Круг",0.64,16.5,0,585,engagement,442.58,221.29
191,gold,None,2.65,22.5,0,585,wedding,1166.0,524.70
192,gold,None,1.79,15.0,0,585,wedding,787.6,354.42
193,gold,None,1.75,15.0,0,585,wedding,770.0,346.50
194,gold,None,1.75,15.0,0,585,wedding,770.0,346.50
195,gold,None,1.83,15.0,0,585,wedding,805.2,362.34
196,gold,None,1.72,15.0,0,585,wedding,756.8,340.56
197,gold,None,2.35,22.5,0,585,wedding,1034.0,465.30
198,gold,None,1.82,16.0,0,585,wedding,1040.0,468.00
199,gold,None,1.82,16.0,0,585,wedding,1040.0,468.00
200,gold,None,2.42,22.5,0,585,wedding,1382.86,622.29
201,gold,None,1.7,16.0,0,585,wedding,748.0,336.60
202,gold,None,1.7,16.0,0,585,wedding,971.43,437.14
203,gold,None,2.25,22.0,0,585,wedding,990.0,445.50
204,gold,None,2.43,22.5,0,585,wedding,1069.2,481.14
205,gold,None,1.65,15.0,0,585,wedding,726.0,326.70
206,gold,None,2.55,22.5,0,585,wedding,1122.0,504.90
207,gold,None,1.55,15.0,0,585,wedding,682.0,306.90
208,gold,None,1.82,15.5,0,585,wedding,800.8,360.36
209,gold,None,1.81,16.0,0,585,wedding,1034.29,465.43
210,gold,None,1.86,15.0,0,585,wedding,818.4,368.28
211,gold,None,1.61,15.0,0,585,wedding,708.4,318.78
212,gold,None,1.68,15.5,0,585,wedding,739.2,332.64
213,gold,None,2.55,21.5,0,585,wedding,1122.0,504.90
214,gold,None,1.66,16.0,1,585,wedding,948.57,303.54
215,gold,None,1.56,15.0,0,585,wedding,891.43,401.14
216,gold,None,1.65,16.0,0,585,wedding,942.86,424.29
217,gold,None,1.74,16.0,0,585,wedding,994.29,447.43
218,gold,None,1.98,16.0,0,585,wedding,1131.43,509.14
219,gold,None,2.29,22.5,0,585,wedding,1308.57,588.86
220,gold,None,2.07,17.5,0,585,wedding,1182.86,532.29
221,gold,None,2.74,21.5,0,585,wedding,1565.72,704.57
222,gold,None,1.73,15.5,0,585,wedding,988.57,444.86
223,gold,None,1.77,15.5,0,585,wedding,1011.43,455.14
224,gold,None,1.77,15.5,0,585,wedding,1011.43,455.14
225,gold,None,1.84,16.5,0,585,wedding,1051.43,473.14
226,gold,None,1.85,18.0,0,585,wedding,1057.15,475.72
227,gold,None,1.93,16.5,0,585,wedding,992.58,446.66
228,gold,None,1.98,18.0,0,585,wedding,1131.43,509.14
229,gold,None,1.99,18.0,0,585,wedding,1137.15,511.72
230,gold,None,1.99,18.0,0,585,wedding,1137.15,511.72
231,gold,None,2.04,18.0,0,585,wedding,1025.83,461.62
232,gold,None,2.08,18.0,0,585,wedding,1045.93,470.67
233,gold,None,1.68,15.5,0,585,wedding,960.0,432.00
234,gold,None,1.72,16.0,0,585,wedding,982.86,442.29
235,gold,None,1.75,15.5,0,585,wedding,1000.0,450.00
236,gold,None,1.75,15.5,0,585,wedding,1000.0,450.00
237,gold,None,1.78,16.0,0,585,wedding,1017.15,457.72
238,gold,None,1.78,16.0,0,585,wedding,1017.15,457.72
239,gold,None,1.78,16.0,0,585,wedding,1017.15,457.72
240,gold,None,1.85,16.0,0,585,wedding,843.08,379.39
241,gold,None,1.88,17.5,0,585,wedding,1074.29,483.43
242,gold,None,1.88,17.5,0,585,wedding,1074.29,483.43
243,gold,None,1.89,17.0,0,585,wedding,1080.0,486.00
244,gold,None,1.9,17.0,0,585,wedding,1004.28,451.93
245,gold,None,1.9,17.0,0,585,wedding,1085.72,488.57
246,gold,None,1.9,17.5,0,585,wedding,1085.72,488.57
247,gold,None,1.95,16.5,0,585,wedding,1114.29,501.43
248,gold,None,1.95,17.5,0,585,wedding,1114.29,501.43
249,gold,None,1.96,17.5,0,585,wedding,1120.0,504.00
250,gold,None,1.97,16.5,0,585,wedding,1125.72,506.57
251,gold,None,1.97,17.0,0,585,wedding,1125.72,506.57
252,gold,None,1.98,17.5,0,585,wedding,1131.43,509.14
253,gold,None,2.0,17.0,0,585,wedding,1142.86,514.29
254,gold,None,2.0,17.0,0,585,wedding,1142.86,514.29
255,gold,None,2.0,17.0,0,585,wedding,1142.86,514.29
256,gold,None,2.03,17.0,0,585,wedding,1160.0,522.00
257,gold,None,2.04,17.5,0,585,wedding,929.67,418.35
258,gold,None,2.05,17.0,0,585,wedding,1171.43,527.14
259,gold,None,2.06,17.0,0,585,wedding,1177.15,529.72
260,gold,None,2.06,17.0,0,585,wedding,1177.15,529.72
261,gold,None,2.06,17.0,0,585,wedding,1177.15,529.72
262,gold,None,2.06,17.0,0,585,wedding,1177.15,529.72
263,gold,None,1.8,16.0,0,585,wedding,1028.57,462.86
264,gold,None,1.8,16.0,0,585,wedding,1028.57,462.86
265,gold,None,1.96,17.0,0,585,wedding,1120.0,504.00
266,gold,None,1.79,15.5,0,585,wedding,1022.86,460.29
267,gold,None,1.79,15.5,0,585,wedding,1022.86,460.29
268,gold,None,1.79,15.5,0,585,wedding,1022.86,460.29
269,gold,None,1.85,16.5,0,585,wedding,1057.15,475.72
270,gold,None,1.85,16.5,0,585,wedding,1057.15,475.72
271,gold,None,1.97,18.0,0,585,wedding,1125.72,506.57
272,gold,None,1.75,16.0,0,585,wedding,1000.0,450.00
273,gold,None,1.75,16.0,0,585,wedding,1000.0,450.00
274,gold,None,1.75,16.0,0,585,wedding,1000.0,450.00
275,gold,None,1.75,16.0,0,585,wedding,1000.0,450.00
276,gold,None,1.76,16.0,0,585,wedding,1005.72,452.57
277,gold,None,1.86,16.5,0,585,wedding,1062.86,478.29
278,gold,None,1.92,15.5,0,585,wedding,935.33,420.90
279,gold,None,1.92,15.5,0,585,wedding,935.33,420.90
280,gold,None,1.81,18.0,0,585,wedding,1034.29,465.43
281,gold,None,1.89,15.0,0,585,wedding,1080.0,486.00
282,gold,None,1.94,17.5,0,585,wedding,1108.57,498.86
283,gold,None,1.89,15.5,0,585,wedding,861.31,387.59
284,gold,None,1.9,16.5,0,585,wedding,1085.72,488.57
285,gold,None,1.9,16.5,0,585,wedding,1085.72,488.57
286,gold,None,1.93,17.0,0,585,wedding,1102.86,496.29
287,gold,None,1.87,16.5,0,585,wedding,1068.57,480.86
288,gold,None,1.87,16.5,0,585,wedding,1068.57,480.86
289,gold,None,1.87,16.5,0,585,wedding,1068.57,480.86
290,gold,None,1.89,18.0,0,585,wedding,1052.99,473.85
291,gold,None,1.84,15.0,0,585,wedding,1051.43,473.14
292,gold,None,1.99,17.5,0,585,wedding,1137.15,511.72
293,gold,None,1.99,17.5,0,585,wedding,1051.85,473.33
294,gold,None,1.87,15.5,0,585,wedding,910.97,348.62
295,gold,None,1.87,15.5,0,585,wedding,910.97,409.94
296,gold,None,1.87,15.5,0,585,wedding,910.97,409.94
297,gold,None,2.11,18.0,0,585,wedding,1175.57,529.01
298,gold,None,2.11,18.0,0,585,wedding,1205.72,542.57
299,gold,None,1.88,16.0,0,585,wedding,1074.29,483.43
300,gold,None,1.88,16.0,0,585,wedding,966.87,435.09
301,gold,None,1.95,16.0,0,585,wedding,1114.29,501.43
302,gold,None,1.78,15.5,0,585,wedding,991.71,446.27
303,gold,None,2.1,17.0,0,585,wedding,1200.0,540.00
304,gold,None,1.66,15.5,0,585,wedding,948.57,426.86
305,gold,None,2.19,18.0,0,585,wedding,1251.43,563.14
306,gold,None,2.19,18.0,0,585,wedding,1251.43,563.14
307,gold,None,1.83,15.0,0,585,wedding,891.47,401.16
308,gold,None,1.72,15.0,0,585,wedding,864.9,389.21
309,gold,None,1.45,15.5,0,585,wedding,745.72,335.57
310,gold,None,1.69,15.0,0,585,wedding,893.28,401.98
311,gold,None,1.53,15.5,0,585,wedding,874.29,393.43
312,gold,None,2.09,16.5,0,585,wedding,1194.29,537.43
313,gold,None,2.28,18.0,0,585,wedding,1302.86,586.29
314,gold,None,2.28,18.0,0,585,wedding,1302.86,586.29
315,gold,None,2.05,17.5,0,585,wedding,1171.43,527.14
316,gold,None,1.73,18.0,0,585,wedding,988.57,444.86
317,gold,None,1.71,15.0,0,585,wedding,977.15,439.72
318,gold,None,1.74,15.5,0,585,wedding,994.29,447.43
319,gold,None,1.77,15.0,0,585,wedding,1011.43,455.14
320,gold,None,1.71,15.5,0,585,wedding,977.15,439.72
321,gold,None,2.07,18.0,0,585,wedding,1182.86,532.29
322,gold,None,2.07,18.0,0,585,wedding,1182.86,532.29
323,gold,None,1.87,16.0,0,585,wedding,1068.57,480.86
324,gold,None,1.87,16.0,0,585,wedding,1068.57,480.86
325,gold,None,1.87,16.0,0,585,wedding,1068.57,480.86
326,gold,None,1.87,16.0,0,585,wedding,1068.57,480.86
327,gold,None,2.06,16.5,0,585,wedding,1177.15,529.72
328,gold,None,1.96,17.0,0,585,wedding,1120.0,504.00
329,gold,None,2.03,18.0,0,585,wedding,1160.0,522.00
330,gold,None,2.1,16.5,0,585,wedding,1200.0,540.00
331,gold,None,1.87,17.5,0,585,wedding,1068.57,480.86
332,gold,None,2.12,17.5,0,585,wedding,1211.43,545.14
333,gold,None,2.12,17.5,0,585,wedding,1211.43,545.14
334,gold,None,2.21,17.5,0,585,wedding,1262.86,568.29
335,gold,None,2.21,17.5,0,585,wedding,1262.86,568.29
336,gold,None,1.72,15.5,0,585,wedding,982.86,442.29
337,gold,None,1.72,15.5,0,585,wedding,982.86,442.29
338,gold,None,1.72,15.5,0,585,wedding,982.86,442.29
339,gold,None,1.72,15.5,0,585,wedding,982.86,442.29
340,gold,None,2.25,17.5,0,585,wedding,1285.72,578.57
341,gold,None,1.82,16.0,0,585,wedding,1040.0,468.00
342,gold,None,2.16,18.0,0,585,wedding,1234.29,555.43
343,gold,None,2.25,18.0,0,585,wedding,1285.72,578.57
344,gold,None,2.14,17.0,0,585,wedding,1222.86,550.29
345,gold,None,2.1,17.5,0,585,wedding,1200.0,540.00
346,gold,None,2.1,17.5,0,585,wedding,1200.0,540.00
347,gold,None,2.1,17.5,0,585,wedding,1200.0,540.00
348,gold,None,2.16,17.5,0,585,wedding,1234.29,555.43
349,gold,None,2.07,17.5,0,585,wedding,1182.86,532.29
350,gold,None,2.12,18.0,0,585,wedding,1211.43,545.14
351,gold,None,2.17,17.0,0,585,wedding,1240.0,558.00
352,gold,None,1.54,15.5,0,585,wedding,880.0,396.00
353,gold,None,1.61,15.5,0,585,wedding,920.0,414.00
354,gold,None,1.61,15.5,0,585,wedding,920.0,414.00
355,gold,None,1.62,15.5,0,585,wedding,925.72,416.57
356,gold,None,1.62,15.5,0,585,wedding,925.72,416.57
357,gold,None,1.69,17.0,0,585,wedding,965.72,434.57
358,gold,None,1.69,17.0,0,585,wedding,965.72,434.57
359,gold,None,1.69,17.0,0,585,wedding,965.72,434.57
360,gold,None,1.72,15.5,0,585,wedding,982.86,442.29
361,gold,None,1.76,16.0,0,585,wedding,1005.72,452.57
362,gold,None,1.76,17.0,0,585,wedding,1005.72,452.57
363,gold,None,1.77,16.0,0,585,wedding,1011.43,455.14
364,gold,None,1.79,17.0,0,585,wedding,1022.86,460.29
365,gold,None,1.87,15.0,0,585,wedding,1068.57,480.86
366,gold,None,1.9,17.0,0,585,wedding,1085.72,488.57
367,gold,None,1.91,15.0,0,585,wedding,1091.43,491.14
368,gold,None,1.94,16.5,0,585,wedding,1108.57,498.86
369,gold,None,1.95,17.0,0,585,wedding,1114.29,501.43
370,gold,None,1.96,16.5,0,585,wedding,1120.0,504.00
371,gold,None,1.96,16.5,0,585,wedding,1120.0,504.00
372,gold,None,1.96,17.0,0,585,wedding,1120.0,504.00
373,gold,None,1.97,15.0,0,585,wedding,1125.72,506.57
374,gold,None,1.99,17.5,0,585,wedding,1137.15,511.72
375,gold,None,2.03,16.5,0,585,wedding,1160.0,522.00
376,gold,None,2.04,17.5,0,585,wedding,1165.72,524.57
377,gold,None,2.04,17.5,0,585,wedding,1165.72,524.57
378,gold,None,2.04,17.5,0,585,wedding,1165.72,524.57
379,gold,None,2.06,16.5,0,585,wedding,1177.15,529.72
380,gold,None,2.06,16.5,0,585,wedding,1177.15,529.72
381,gold,None,2.06,16.5,0,585,wedding,1177.15,529.72
382,gold,None,2.07,17.5,0,585,wedding,1182.86,532.29
383,gold,None,2.08,16.5,0,585,wedding,1188.57,534.86
384,gold,None,2.08,16.5,0,585,wedding,1188.57,534.86
385,gold,None,2.08,17.5,0,585,wedding,1188.57,534.86
386,gold,None,2.08,17.5,0,585,wedding,1188.57,534.86
387,gold,None,2.09,16.5,0,585,wedding,1194.29,537.43
388,gold,None,2.09,16.5,0,585,wedding,1194.29,537.43
389,gold,None,2.09,18.0,0,585,wedding,1194.29,537.43
390,gold,None,2.12,16.5,0,585,wedding,1211.43,545.14
391,gold,None,2.12,16.5,0,585,wedding,1211.43,545.14
392,gold,None,2.12,17.5,0,585,wedding,1211.43,545.14
393,gold,None,2.12,17.5,0,585,wedding,1211.43,545.14
394,gold,None,2.12,18.0,0,585,wedding,1211.43,545.14
395,gold,None,2.12,18.0,0,585,wedding,1211.43,545.14
396,gold,None,2.12,18.0,0,585,wedding,1211.43,545.14
397,gold,None,2.15,18.0,0,585,wedding,1228.57,552.86
398,gold,None,2.15,18.0,0,585,wedding,1228.57,552.86
399,gold,None,2.15,18.0,0,585,wedding,1228.57,552.86
400,gold,None,2.15,18.0,0,585,wedding,1228.57,552.86
401,gold,None,2.17,18.0,0,585,wedding,1240.0,558.00
402,gold,None,2.17,18.0,0,585,wedding,1240.0,558.00
403,gold,None,2.17,18.0,0,585,wedding,1240.0,558.00
