,id,matter,weight,size,is_defect,platemark,type,price_before_takeoff
89,Т20001016,gold,1.6,16.0,0,375,wedding,662.86
90,1011396,gold,0.72,16.5,0,585,decorative,677.66
91,1011396,gold,0.8,17.5,0,585,decorative,756.42
92,1011396,gold,0.69,16.5,0,585,decorative,660.27
93,1011396,gold,0.7,16.5,0,585,decorative,678.39
94,1011396,gold,0.74,16.0,0,585,decorative,687.71
95,1011396,gold,0.64,15.5,0,585,decorative,614.36
96,1011396,gold,0.66,15.0,0,585,decorative,671.68
97,1011396,gold,0.71,15.0,0,585,decorative,663.12
98,1011396,gold,0.72,15.0,0,585,decorative,673.65
99,1011396,gold,0.75,15.0,0,585,decorative,697.81
100,1011396,gold,0.77,16.0,0,585,decorative,705.06
101,1011396,gold,0.77,16.0,0,585,decorative,724.29
102,1011396,gold,0.63,16.5,0,585,decorative,627.15
103,1011396,gold,0.65,17.0,0,585,decorative,643.6
104,1011396,gold,0.65,17.0,0,585,decorative,646.99
105,1011396,gold,0.66,16.5,0,585,decorative,635.44
106,1011396,gold,0.67,16.5,0,585,decorative,632.27
107,1011396,gold,0.67,16.5,0,585,decorative,640.41
108,1011396,gold,0.67,16.5,0,585,decorative,642.76
109,1011396,gold,0.67,16.5,0,585,decorative,645.95
110,1011396,gold,0.67,17.0,0,585,decorative,644.8
111,1011396,gold,0.68,16.5,0,585,decorative,645.99
112,1011396,gold,0.69,17.0,0,585,decorative,656.94
113,1011396,gold,0.69,17.0,0,585,decorative,661.01
114,1011396,gold,0.69,17.0,0,585,decorative,648.59
115,1011396,gold,0.72,17.0,0,585,decorative,682.12
116,1011396,gold,0.73,16.0,0,585,decorative,673.44
117,1011396,gold,0.73,17.0,0,585,decorative,689.15
118,1011396,gold,0.74,17.0,0,585,decorative,695.79
119,1011396,gold,0.75,17.0,0,585,decorative,702.82
120,1011396,gold,0.75,17.0,0,585,decorative,687.2
121,1011396,gold,0.73,16.0,0,585,decorative,696.49
122,1011396,gold,0.75,16.5,0,585,decorative,702.82
123,1011396,gold,0.67,15.5,0,585,decorative,635.52
124,1011396,gold,0.7,16.5,0,585,decorative,664.88
125,Т200013731,gold,3.24,21.5,0,375,wedding,1342.3
126,Т200013731,gold,3.2,22.5,0,375,wedding,1325.73
127,Т200013731,gold,3.2,22.5,0,375,wedding,1325.73
128,Т200013731,gold,3.21,22.5,0,375,wedding,1329.87
129,Т200013731,gold,3.27,22.0,0,375,wedding,1354.73
130,Т200013731,gold,3.3,23.0,0,375,wedding,1367.16
131,Т200013731,gold,3.33,23.0,0,375,wedding,1379.59
132,Т200013731,gold,3.36,23.0,0,375,wedding,1392.01
133,Т200013731,gold,3.2,22.5,0,375,wedding,1325.73
134,Т200013731,gold,3.27,22.5,0,375,wedding,1354.73
