артикул;материал;вес;размер;есть_дефект;проба;тип;цена_до_скидки
1011396;Золото;0.77;16;0;585;dekorativnye_1;705.06
1011396;Золото;0.77;16;0;585;dekorativnye_1;724.29
1011396;Золото;0.63;16,5;0;585;dekorativnye_1;627.15
1011396;Золото;0.65;17;0;585;dekorativnye_1;643.6
1011396;Золото;0.65;17;0;585;dekorativnye_1;646.99
1011396;Золото;0.66;16,5;0;585;dekorativnye_1;635.44
1011396;Золото;0.67;16,5;0;585;dekorativnye_1;632.27
1011396;Золото;0.67;16,5;0;585;dekorativnye_1;640.41
1011396;Золото;0.67;16,5;0;585;dekorativnye_1;642.76
1011396;Золото;0.67;16,5;0;585;dekorativnye_1;645.95
1011396;Золото;0.67;17;0;585;dekorativnye_1;644.8
1011396;Золото;0.68;16,5;0;585;dekorativnye_1;645.99
1011396;Золото;0.69;17;0;585;dekorativnye_1;656.94
1011396;Золото;0.69;17;0;585;dekorativnye_1;661.01
1011396;Золото;0.69;17;0;585;dekorativnye_1;648.59
1011396;Золото;0.72;17;0;585;dekorativnye_1;682.12
1011396;Золото;0.73;16;0;585;dekorativnye_1;673.44
1011396;Золото;0.73;17;0;585;dekorativnye_1;689.15
1011396;Золото;0.74;17;0;585;dekorativnye_1;695.79
1011396;Золото;0.75;17;0;585;dekorativnye_1;702.82
1011396;Золото;0.75;17;0;585;dekorativnye_1;687.2
1011396;Золото;0.73;16;0;585;dekorativnye_1;696.49
1011396;Золото;0.75;16,5;0;585;dekorativnye_1;702.82
1011396;Золото;0.67;15,5;0;585;dekorativnye_1;635.52
1011396;Золото;0.7;16,5;0;585;dekorativnye_1;664.88
Т200013731;Золото;3.24;21,5;0;375;obruchalnye;1342.3
Т200013731;Золото;3.2;22,5;0;375;obruchalnye;1325.73
Т200013731;Золото;3.2;22,5;0;375;obruchalnye;1325.73
Т200013731;Золото;3.21;22,5;0;375;obruchalnye;1329.87
Т200013731;Золото;3.27;22;0;375;obruchalnye;1354.73
Т200013731;Золото;3.3;23;0;375;obruchalnye;1367.16
Т200013731;Золото;3.33;23;0;375;obruchalnye;1379.59
Т200013731;Золото;3.36;23;0;375;obruchalnye;1392.01
Т200013731;Золото;3.2;22,5;0;375;obruchalnye;1325.73
Т200013731;Золото;3.27;22,5;0;375;obruchalnye;1354.73
Т200013731;Золото;2.39;16,5;0;375;obruchalnye;990.15
Т200013731;Золото;2.19;15,5;0;375;obruchalnye;907.3
Т200013731;Золото;3.16;21,5;0;375;obruchalnye;1309.16
Т200013731;Золото;3.31;23;0;375;obruchalnye;1371.3
